album_id, album_name, album_reference
2516504,Laundry Service,https://www.iheart.com/artist/shakira-36640/albums/laundry-service-2516504/
152934075,The Lockdown Sessions,https://www.iheart.com/artist/ed-sheeran-396790/albums/the-lockdown-sessions-152934075/
44812932,Christmas,https://www.iheart.com/artist/kimberley-locke-122102/albums/christmas-44812932/
23451612,The Classic Christmas Album,https://www.iheart.com/artist/andy-williams-16425/albums/the-classic-christmas-album-23451612/
2543612,Rudolph The Red Nosed Reindeer And Other Christmas Classics,https://www.iheart.com/artist/gene-autry-with-the-cass-county-boys-120868/albums/rudolph-the-red-nosed-reindeer-and-other-christmas-classics-2543612/
19435476,The Classic Christmas Album,https://www.iheart.com/artist/willie-nelson-631/albums/the-classic-christmas-album-19435476/
10582127,Gift Wrapped II: Snowed In,https://www.iheart.com/artist/david-foster-58573/albums/gift-wrapped-ii-snowed-in-10582127/
136347662,Stay As Sweet As You Are,https://www.iheart.com/artist/nat-king-cole-3428/albums/stay-as-sweet-as-you-are-136347662/
23451538,The Classic Christmas Album,https://www.iheart.com/artist/martina-mcbride-35319/albums/the-classic-christmas-album-23451538/
19413223,The Classic Christmas Album,https://www.iheart.com/artist/elvis-presley-1014/albums/the-classic-christmas-album-19413223/
562580,Jingle Bell Rock,https://www.iheart.com/artist/brenda-lee-18115/albums/jingle-bell-rock-562580/
2776665,We Wish You A Merry Christmas,https://www.iheart.com/artist/ray-conniff-104848/albums/we-wish-you-a-merry-christmas-2776665/
1023064,Oh Good Grief,https://www.iheart.com/artist/vince-guaraldi-39248/albums/oh-good-grief-1023064/
29762325,Christmas With The Rat Pack,https://www.iheart.com/artist/dean-martin-6555/albums/christmas-with-the-rat-pack-29762325/
2538282,Merry Christmas,https://www.iheart.com/artist/johnny-mathis-14581/albums/merry-christmas-2538282/
19309444,How The Grinch Stole Christmas,https://www.iheart.com/artist/thurl-ravenscroft-89607/albums/how-the-grinch-stole-christmas-19309444/
112802572,A Jolly Christmas,https://www.iheart.com/artist/frank-sinatra-739/albums/a-jolly-christmas-112802572/
20274994,Merry Christmas,https://www.iheart.com/artist/mariah-carey-31885/albums/merry-christmas-20274994/
5897101,The Essential Gene Autry,https://www.iheart.com/artist/gene-autry-with-the-pinafores-204996/albums/the-essential-gene-autry-5897101/
23899060,Wrapped In Red,https://www.iheart.com/artist/kelly-clarkson-34788/albums/wrapped-in-red-23899060/
42160830,Christmas Country,https://www.iheart.com/artist/martina-mcbride-35319/albums/christmas-country-42160830/
8796271,The Greatest Holiday Classics,https://www.iheart.com/artist/kenny-g-7789/albums/the-greatest-holiday-classics-8796271/
530179,A Christmas Album,https://www.iheart.com/artist/amy-grant-3053/albums/a-christmas-album-530179/
1037758,Let the Boogie-Woogie Roll: Greatest Hits 1953-1958,https://www.iheart.com/artist/the-drifters-1393/albums/let-the-boogie-woogie-roll-greatest-hits-1953-1958-1037758/
495237,Little Saint Nick,https://www.iheart.com/artist/the-beach-boys-3455/albums/little-saint-nick-495237/
2724220,Christmas Carolling,https://www.iheart.com/artist/ray-conniff-104848/albums/christmas-carolling-2724220/
467689,The Christmas Collection,https://www.iheart.com/artist/amy-grant-3053/albums/the-christmas-collection-467689/
33034958,Elvis Sings the Wonderful World of Christmas,https://www.iheart.com/artist/elvis-presley-1014/albums/elvis-sings-the-wonderful-world-of-christmas-33034958/
29402136,Rudolph The Red-Nosed Reindeer,https://www.iheart.com/artist/burl-ives-videocraft-chorus-32558868/albums/rudolph-the-red-nosed-reindeer-29402136/
2516122,Escape,https://www.iheart.com/artist/journey-3801/albums/escape-2516122/
1077185,Get Down Tonight / You Don't Know [Digital 45],https://www.iheart.com/artist/kc-the-sunshine-band-2485/albums/get-down-tonight-you-dont-know-digital-45-1077185/
605188,Big Ones,https://www.iheart.com/artist/aerosmith-39229/albums/big-ones-605188/
5908733,All The Best,https://www.iheart.com/artist/paul-mccartney-4682/albums/all-the-best-5908733/
13985474,Mirror Ball - Live & More,https://www.iheart.com/artist/def-leppard-44059/albums/mirror-ball-live-more-13985474/
21601977,Rumours,https://www.iheart.com/artist/fleetwood-mac-7046/albums/rumours-21601977/
67917853,Classic 80s Movie Songs,https://www.iheart.com/artist/huey-lewis-the-news-19378/albums/classic-80s-movie-songs-67917853/
2450506,Nimrod,https://www.iheart.com/artist/green-day-633/albums/nimrod-2450506/
36999520,Once Upon A Time,https://www.iheart.com/artist/simple-minds-26291/albums/once-upon-a-time-36999520/
524356,American Pie,https://www.iheart.com/artist/don-mclean-6834/albums/american-pie-524356/
2598937,Eye Of The Tiger,https://www.iheart.com/artist/survivor-33329/albums/eye-of-the-tiger-2598937/
2565532,52nd Street,https://www.iheart.com/artist/billy-joel-4684/albums/52nd-street-2565532/
8292885,Tropico,https://www.iheart.com/artist/pat-benatar-28794/albums/tropico-8292885/
658249,Even In The Quietest Moments,https://www.iheart.com/artist/supertramp-39262/albums/even-in-the-quietest-moments-658249/
10897710,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",https://www.iheart.com/artist/michael-jackson-6739/albums/history-past-present-and-future-book-i-10897710/
27080488,New Jersey,https://www.iheart.com/artist/bon-jovi-39361/albums/new-jersey-27080488/
19279260,To Be Continued...,https://www.iheart.com/artist/elton-john-5041/albums/to-be-continued-19279260/
1794641,Faith,https://www.iheart.com/artist/george-michael-44680/albums/faith-1794641/
51500178,Noël,https://www.iheart.com/artist/josh-groban-58260/albums/noel-51500178/
2951567,The Christmas Album,https://www.iheart.com/artist/air-supply-2618/albums/the-christmas-album-2951567/
79923046,Rock Stars Sing to Santa,https://www.iheart.com/artist/chuck-berry-644/albums/rock-stars-sing-to-santa-79923046/
9296489,NOW Christmas Vol. 4,https://www.iheart.com/artist/maroon-5-40523/albums/now-christmas-vol-4-9296489/
85208303,Do You Hear What I Hear,https://www.iheart.com/artist/carrie-underwood-89416/albums/do-you-hear-what-i-hear-85208303/
2511441,Moon River: The Very Best Of Andy Williams,https://www.iheart.com/artist/andy-williams-16425/albums/moon-river-the-very-best-of-andy-williams-2511441/
19637668,Happy Xmas War Is Over (Full Version),https://www.iheart.com/artist/john-lennon-972/albums/happy-xmas-war-is-over-full-version-19637668/
840179,Guitar By The Fire,https://www.iheart.com/artist/john-tesh-17592/albums/guitar-by-the-fire-840179/
15599978,The Best Of Christmas,https://www.iheart.com/artist/dean-martin-6555/albums/the-best-of-christmas-15599978/
2513306,A Christmas Gift For You From Phil Spector,https://www.iheart.com/artist/the-ronettes-89545/albums/a-christmas-gift-for-you-from-phil-spector-2513306/
493412,A Jolly Christmas From Frank Sinatra,https://www.iheart.com/artist/frank-sinatra-739/albums/a-jolly-christmas-from-frank-sinatra-493412/
722877,Best Of Motown Christmas/20th Century Christmas,https://www.iheart.com/artist/the-jackson-5-35053/albums/best-of-motown-christmas20th-century-christmas-722877/
2569416,Wintersong,https://www.iheart.com/artist/sarah-mclachlan-89556/albums/wintersong-2569416/
4018395,Music Of Christmas,https://www.iheart.com/artist/percy-faith-his-orchestra-chorus-30066836/albums/music-of-christmas-4018395/
43494076,Country Christmas Favorites,https://www.iheart.com/artist/lady-a-33498/albums/country-christmas-favorites-43494076/
28632687,The Classic Christmas Album,https://www.iheart.com/artist/perry-como-and-the-fontane-sisters-with-mitchell-ayres-his-orchestra-30083156/albums/the-classic-christmas-album-28632687/
474324,Anne Murray's Christmas Album,https://www.iheart.com/artist/anne-murray-28649/albums/anne-murrays-christmas-album-474324/
2024904,Christmas Eve and Other Stories,https://www.iheart.com/artist/trans-siberian-orchestra-58610/albums/christmas-eve-and-other-stories-2024904/
19567927,A Very Special Christmas 25th Anniversary,https://www.iheart.com/artist/jordin-sparks-57699/albums/a-very-special-christmas-25th-anniversary-19567927/
2954724,Feliz Navidad,https://www.iheart.com/artist/jose-feliciano-30507/albums/feliz-navidad-2954724/
19435475,The Classic Christmas Album,https://www.iheart.com/artist/barry-manilow-with-expose-30916992/albums/the-classic-christmas-album-19435475/
731137,Greatest Hits,https://www.iheart.com/artist/vince-guaraldi-trio-37943/albums/greatest-hits-731137/
2596088,Merry Christmas,https://www.iheart.com/artist/andy-williams-16425/albums/merry-christmas-2596088/
763891,Tragic Kingdom,https://www.iheart.com/artist/no-doubt-39399/albums/tragic-kingdom-763891/
10399428,Damn The Torpedoes,https://www.iheart.com/artist/tom-petty-the-heartbreakers-663257/albums/damn-the-torpedoes-10399428/
69665306,Anthology,https://www.iheart.com/artist/bryan-adams-39547/albums/anthology-69665306/
658839,Here I Go Again: The Whitesnake Collection,https://www.iheart.com/artist/whitesnake-35977/albums/here-i-go-again-the-whitesnake-collection-658839/
849312,Hot Space,https://www.iheart.com/artist/queen-4258/albums/hot-space-849312/
4492309,Here Comes The Hotstepper,https://www.iheart.com/artist/ini-kamoze-43240/albums/here-comes-the-hotstepper-4492309/
510348,Bad Animals,https://www.iheart.com/artist/heart-30587/albums/bad-animals-510348/
5891182,I Don't Speak The Language,https://www.iheart.com/artist/matthew-wilder-116009/albums/i-dont-speak-the-language-5891182/
1054970,Dizzy up the Girl,https://www.iheart.com/artist/goo-goo-dolls-12135/albums/dizzy-up-the-girl-1054970/
121079377,The Very Best Of Prince,https://www.iheart.com/artist/prince-3403/albums/the-very-best-of-prince-121079377/
638638,Elton John,https://www.iheart.com/artist/elton-john-5041/albums/elton-john-638638/
754639,The Joshua Tree,https://www.iheart.com/artist/u2-970/albums/the-joshua-tree-754639/
96583954,The Sign,https://www.iheart.com/artist/ace-of-base-86244/albums/the-sign-96583954/
550051,Get Nervous,https://www.iheart.com/artist/pat-benatar-28794/albums/get-nervous-550051/
2435780,Pillow Lips,https://www.iheart.com/artist/modern-english-7361/albums/pillow-lips-2435780/
550747,Labour Of Love,https://www.iheart.com/artist/ub40-28251/albums/labour-of-love-550747/
689703,American Fool,https://www.iheart.com/artist/john-mellencamp-40082/albums/american-fool-689703/
19331243,Back In The World,https://www.iheart.com/artist/paul-mccartney-4682/albums/back-in-the-world-19331243/
2517320,Super Hits,https://www.iheart.com/artist/europe-44137/albums/super-hits-2517320/
103377566,TLC: Greatest Hits,https://www.iheart.com/artist/tlc-89006/albums/tlc-greatest-hits-103377566/
117677240,All That You Can’t Leave Behind,https://www.iheart.com/artist/u2-970/albums/all-that-you-cant-leave-behind-117677240/
29589906,TALKING IS HARD,https://www.iheart.com/artist/walk-the-moon-483280/albums/talking-is-hard-29589906/
450623,Best Shots,https://www.iheart.com/artist/pat-benatar-28794/albums/best-shots-450623/
31695488,1000 Forms Of Fear (Deluxe Version),https://www.iheart.com/artist/sia-33697/albums/1000-forms-of-fear-deluxe-version-31695488/
181173561,Hold Me Closer,https://www.iheart.com/artist/elton-john-5041/albums/hold-me-closer-181173561/
16978028,Some Nights,https://www.iheart.com/artist/fun-414211/albums/some-nights-16978028/
2538493,Songs In A Minor,https://www.iheart.com/artist/alicia-keys-56563/albums/songs-in-a-minor-2538493/
2019470,Big Innings: The Best Of The Outfield,https://www.iheart.com/artist/the-outfield-98021/albums/big-innings-the-best-of-the-outfield-2019470/
125499704,Future Nostalgia,https://www.iheart.com/artist/dua-lipa-30983282/albums/future-nostalgia-125499704/
18547529,Overexposed,https://www.iheart.com/artist/maroon-5-40523/albums/overexposed-18547529/
108459544,Dreamland,https://www.iheart.com/artist/glass-animals-749327/albums/dreamland-108459544/
20634084,Unorthodox Jukebox,https://www.iheart.com/artist/bruno-mars-337578/albums/unorthodox-jukebox-20634084/
60426447,Slippery When Wet,https://www.iheart.com/artist/bon-jovi-39361/albums/slippery-when-wet-60426447/
1800544,No Strings Attached,https://www.iheart.com/artist/nsync-31882/albums/no-strings-attached-1800544/
13738327,Hounds Of Love,https://www.iheart.com/artist/kate-bush-37936/albums/hounds-of-love-13738327/
23142717,MDNA World Tour,https://www.iheart.com/artist/madonna-35393/albums/mdna-world-tour-23142717/
402822,Wilson Phillips,https://www.iheart.com/artist/wilson-phillips-29912/albums/wilson-phillips-402822/
